timestamp,count,flag,complete
2075731816982449,1,0,3040
2075731817598313,0,0,4677
2075731817624109,1,0,3730
2075731818205506,1,0,6115
2075731818547116,0,0,2710
2075731819154585,1,0,2515
2075731819756039,0,0,2256
2075731820187579,0,0,2887
2075731820711636,0,0,2682
2075731821158868,0,0,3366
2075731821433398,0,0,8561
2075731821920972,0,0,2621
2075731821946143,0,0,1755
2075731822418883,1,0,2592
2075731822905102,1,0,8935
2075731823693496,0,0,3558
2075731824262597,1,0,4069
2075731824801624,0,0,3172
2075731824871927,0,0,1885
2075731825341023,0,0,2691
2075731825859604,0,0,2712
2075731826380160,0,0,3150
